UserID,VideoID,Timestamp,Duration,Topics
799,44,2023-11-06 18:30:11,32,Fitness
42,73,2023-11-12 18:47:58,7,Travel
747,131,2023-11-12 08:51:36,37,Art
70,164,2023-10-27 14:30:04,31,Education
637,17,2023-10-15 09:13:21,30,Cooking
85,143,2023-11-11 22:07:31,11,Education
919,21,2023-10-21 05:51:24,23,Art
21,42,2023-10-21 18:03:45,32,Gaming
423,55,2023-10-23 08:06:20,37,Gaming
169,199,2023-10-17 15:27:54,60,Travel
594,85,2023-11-05 22:25:30,53,Education
690,18,2023-10-24 03:45:38,12,Music
270,135,2023-10-25 19:39:26,8,Art
971,3,2023-10-28 03:13:57,52,Science
736,165,2023-10-14 16:44:16,37,Science
579,70,2023-10-28 06:01:07,13,Comedy
77,141,2023-11-03 13:04:50,29,Technology
465,193,2023-11-07 12:12:35,10,Fitness
822,76,2023-11-07 22:36:05,56,Cooking
989,43,2023-10-22 07:22:44,23,Fitness
755,113,2023-10-22 07:58:09,22,Technology
440,196,2023-11-07 07:50:55,17,Art
535,6,2023-10-16 20:32:04,37,Art
343,198,2023-11-06 07:51:43,52,Technology
338,66,2023-11-08 17:58:06,23,Fitness
675,25,2023-11-04 16:10:14,50,Music
454,80,2023-10-29 17:38:28,58,Art
376,54,2023-10-14 15:42:04,47,Science
609,156,2023-10-18 04:41:41,44,Comedy
826,111,2023-10-29 23:42:37,58,Fitness
608,81,2023-10-15 11:44:42,26,Comedy
902,177,2023-11-09 10:04:15,39,Science
321,8,2023-10-29 11:55:21,5,Technology
935,72,2023-10-21 21:50:18,8,Technology
262,39,2023-11-12 13:58:20,31,Gaming
644,44,2023-11-01 16:02:53,35,Art
859,84,2023-11-01 09:48:17,21,Technology
65,123,2023-10-22 08:26:01,40,Technology
648,77,2023-11-12 13:02:44,16,Education
978,40,2023-11-07 18:20:09,32,Gaming
158,177,2023-10-31 00:50:43,33,Cooking
675,199,2023-11-09 10:41:10,39,Art
647,182,2023-11-01 15:29:00,39,Science
417,14,2023-11-05 23:52:08,12,Cooking
167,155,2023-11-01 07:53:39,31,Travel
773,62,2023-10-22 07:09:46,58,Gaming
665,167,2023-11-11 22:15:25,49,Gaming
656,92,2023-10-23 15:15:05,7,Technology
735,14,2023-10-24 11:26:36,17,Travel
237,90,2023-11-09 10:12:04,15,Education
326,64,2023-10-29 07:02:11,9,Fitness
20,181,2023-10-17 00:05:31,41,Comedy
182,171,2023-11-08 05:58:02,36,Art
16,125,2023-10-25 17:52:22,16,Travel
193,86,2023-11-13 10:06:22,22,Fitness
632,158,2023-10-19 23:44:30,10,Art
684,7,2023-10-21 16:17:10,53,Fitness
201,31,2023-10-31 17:53:34,59,Science
889,99,2023-11-04 08:00:51,39,Cooking
243,182,2023-10-23 03:25:11,58,Fitness
728,164,2023-10-16 12:04:37,50,Science
228,124,2023-11-12 20:45:21,38,Travel
241,46,2023-10-25 04:46:47,9,Art
75,36,2023-11-11 21:32:40,31,Music
377,94,2023-10-20 15:37:50,26,Education
387,42,2023-11-06 11:25:41,29,Comedy
406,27,2023-10-28 10:43:48,37,Technology
286,39,2023-11-10 19:14:44,19,Travel
709,102,2023-10-26 06:36:35,54,Cooking
1000,135,2023-11-12 22:45:11,7,Technology
437,187,2023-10-15 04:35:07,51,Travel
59,15,2023-10-21 09:27:28,40,Cooking
749,86,2023-11-01 17:54:02,36,Cooking
